"","BINTANG 7 CYC NONPOTS","","BS","","","","","","","","","","","BINTANG 7 CYC NONPOTS DGS PRITI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","99%","","","","","","","","","","","","","99%","","","","","","","WITEL","","","","","","","","","","SEGMEN","WITEL","","","","","","","","","","","","","HASIL VISIT ADMIN PAYCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Laporan Bulanan C3MR Periode 202507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","WITEL","","","","","","","","","","","","","WITEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","% C3MR BPC II","","Posisi recording terakhir data TREMS : ","","06/03/2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WITEL","BILL CATEGORY","","","","","","","","","","","","","","","","Performansi ","Performansi Hasil Visit","2025","","","","","","","","","","","","","","","","","","Performansi Hasil Visit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","JAKARTA INNER","8,420,964,692","13,841,453,109","164.37%","166.03%","  (5,420,488,417)","  - ","","1","","","","","JAKARTA INNER","216.49","209.76","96.89%","97.87%","  6.73 ","  4,565,012,303 ","","2","","","JAKARTA INNER","43.07","14.20","32.97%","28.87","113.97","91.33","80.13%","22.64","","RBS","JAKARTA INNER","8.42","13.84","164.37%","-5.42","3.57","1.27","35.66%","2.30","","6","14/69%","","PETUGAS VISIT","HASIL VISIT","SSLVISIT","","","","","","","","","","","","","","","","","Category","","","","","","","Jul","Aug","Sep","Oct","Nov","Dec","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AR","TELDA","","","","","","","","","","","","DEC","GRAFIK RR","","","","","AR","","","","","","","","","","OCT","NOV","DEC","GRAFIK RR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","JAKARTA CENTRUM","22,307,709,554","26,206,841,737","117.48%","118.67%","  (3,899,132,183)","  - ","","3","","","","","JAKARTA CENTRUM","298.48","282.82","94.75%","95.71%","  15.66 ","  12,678,252,906 ","","3","","","JAKARTA CENTRUM","65.75","26.52","40.33%","39.23","134.59","109.92","81.67%","24.67","","","JAKARTA CENTRUM","22.31","26.21","117.48%","-3.90","6.55","2.49","37.98%","4.06","","7","18/65%","","","","0","0","0","0","0","","","","","","","","","","","","","CYC","100.00%","97.33%","95.36%","94.30%","93.29%","95.69%","97.32%","97.53%","98.51%","98.13%","98.42%","99.49%","","","","","","","","","","","","","","914 - Priangan Timur","Eksisting","34,328","12,694,042,018","12,444,417,668","98.03%","2,829,868","0.02%","33,660","12,447,247,536","98.05%","98.06%","684","246,794,482","","","","","AHMAD","GRU","","","6","3","7","3","8","","","","","","","Visit","","","","AHMAD","","","6","3","7","3","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","JAKARTA OUTER","32,755,751,181","35,730,206,090","109.08%","110.18%","  (2,974,454,909)","  - ","","4","","","","","JAKARTA OUTER","507.44","477.19","94.04%","94.99%","  30.25 ","  25,178,410,954 ","","4","","","JAKARTA OUTER","85.40","36.68","42.95%","48.72","157.69","126.84","80.44%","30.85","","","JAKARTA OUTER","32.76","35.73","109.08%","-2.97","9.61","3.92","40.81%","5.69","","8","22/40%","","","","6","30,000","0","0","30,000","","","","","","","","","","","","","C3MR","","","","","","","","","","","","","","","","","","","","","","","","","","","PRANPC","987","277,475,973","91,334,644","32.92%","1,744,263","0.63%","372","93,078,907","37.69%","33.54%","617","184,397,066","","","","","","","","","1","1","2","2","1","","","","","","","Paid","","","","","","","1","1","2","2","1","","","","","","","Paid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BANTEN","20,136,773,588","26,913,506,651","133.65%","135.00%","  (6,776,733,063)","  - ","","2","","","","","BANTEN","123.55","105.35","85.27%","86.13%","  18.20 ","  16,968,837,242 ","","5","","","BANTEN","28.99","27.43","94.62%","1.56","147.94","124.37","84.07%","23.57","","","BANTEN","20.14","26.91","133.65%","-6.78","7.71","3.44","44.58%","4.27","","9","25/72%",""," Total","","6","30,000","0","0","30,000","","","","","","","","","","","","","PRANPC","","","","","","","","","","","","","","","","","","","","","","","","","","","PSB","541","125,195,211","125,195,211","100.00%","0","0.00%","541","125,195,211","100.00%","100.00%","0","0","","","","","ANDRI","GRU","","","3","0","0","0","0","","","","","","","","","","","ANDRI","","","3","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","PRIANGAN BARAT","18,196,068,116","19,321,421,266","106.18%","107.26%","  (1,125,353,150)","  - ","","5","","","","","PRIANGAN BARAT","1.90","1.62","85.07%","85.93%","  0.28 ","  264,822,769 ","","6","","","PRIANGAN BARAT","21.11","19.45","92.14%","1.66","118.44","101.44","85.65%","17.00","","","PRIANGAN BARAT","18.20","19.32","106.18%","-1.13","5.19","2.47","47.52%","2.73","","10","28/46%","","","","0","10,000","0","0","10,000","","","","","","","","","","","","","WINBACK","","","","","","","","","","","","","","","","","","","","","","","","","","","WINBACK","91","6,926,043","5,353,690","77.30%","0","0.00%","74","5,353,690","81.32%","77.30%","18","1,572,353","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BEKASI KARAWANG","25,066,156,099","25,375,746,284","101.24%","102.26%","  (309,590,185)","  - ","","6","","","","","BEKASI KARAWANG","7.66","3.52","45.90%","46.36%","  4.15 ","  4,068,802,051 ","","8","","","BEKASI KARAWANG","63.41","26.96","42.51%","36.46","110.53","95.14","86.07%","15.39","","","BEKASI KARAWANG","25.07","25.38","101.24%","-0.31","5.05","2.18","43.07%","2.88","","11","29/88%","","","","24356","121,780,000","","","","","","","","","","","","","","","","PSB","","","","","","","","","","","","","","","","","","","","","","","","","","TOTAL 914 - Priangan Timur","","35,947","13,103,639,245","12,666,301,213","96.66%","4,574,131","0.03%","34,647","12,670,875,344","96.38%","96.70%","1,319","432,763,901","","","","","ARYA","SPA","","","3","0","1","1","1","","","","","","","","","","","ARYA","","","3","0","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","BANDUNG","12,329,089,954","11,637,006,465","94.39%","95.34%","  692,083,489 ","  568,792,589 ","","8","","","","","BANDUNG","7.40","7.61","102.84%","103.88%","  (0.21)","  - ","","1","","","BANDUNG","77.91","13.57","17.42%","64.34","107.46","88.67","82.51%","18.79","","","BANDUNG","12.33","11.64","94.39%","0.69","3.12","1.01","32.34%","2.11","","12","33/88%",""," Total","","24356","121,790,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GRAND TOTAL","","35,947","13,103,639,245","12,666,301,213","96.66%","4,574,131","0.03%","34,647","12,670,875,344","96.38%","96.70%","1,319","432,763,901","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
